,"['Al0+', 'Co0+', 'Co0+', 'Th0+', 'Th0+', 'Th0+', 'Th0+']","['H0.64285714+', 'H0.64285714+', 'H0.64285714+', 'H0.64285714+', 'H0.64285714+', 'H0.64285714+', 'N3-']","['O2-', 'O2-', 'O2-', 'O2-', 'O2-', 'O2-', 'O2-']","['Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+']"
0,0.21921479399036714,0.46345929670822356,0.2573873498578656,0.5592195232895625
1,0.3661183153742199,0.4634773563086234,0.8463265294955771,0.2635199325340105
2,,0.46338920367512726,0.7623196232599427,0.5383765203259173
3,,0.4635243983846872,0.13579744582754635,0.6885381339856189
4,,0.3027341698247598,0.6556756449049496,0.559006174752309
5,,0.30266327421121564,0.9788345691931633,0.2632231244867446
6,,0.3025765592602838,0.7180199073320489,0.5380176712135801
7,,0.30263703490955174,0.6379718562971577,0.6887848386355202
8,,,0.7155083950848805,
9,,,0.8054965585342191,
10,,,0.9176832829765771,
11,,,0.7892422329211114,
12,,,0.0744651176592151,
13,,,0.7844394648930645,
14,,,0.708833941926341,
15,,,0.22609251784772824,
16,,,0.3440259101485325,
17,,,0.6958585106027017,
